"date_spotted";"time_spotted";"city";"state";"country";"shape";"duration(seconds)";"duration (hours/min)";"comments";"date _posted";"latitude";"longitude";"id"
"1949-10-10";"20:30:00";san marcos;tx;us;cylinder;2700;"45 minutes";This event took place in early fall around 1949-50. It occurred after a Boy Scout meeting in the Baptist Church. The Baptist Church sit;"2004-04-27";29.8830556;-97.9411111;1
"2010-04-03";"05:50:00";milwaukee;wi;us;light;90;"90 seconds";Ball of light floating in sky near main freeway in Milwaukee.;"2010-04-13";43.0388889;-87.9063889;2
"1949-10-10";"21:00:00";lackland afb;tx;"";light;7200;"1-2 hrs";"1949 Lackland AFB&#44 TX.  Lights racing across the sky &amp; making 90 degree turns on a dime.";"2005-12-16";29.38421;-98.581082;3
"1955-10-10";"17:00:00";chester (uk/england);"";gb;circle;20;"20 seconds";Green/Orange circular disc over Chester&#44 England;"2008-01-21";53.2;-2.916667;4
"1956-10-10";"21:00:00";edna;tx;us;circle;20;"1/2 hour";My older brother and twin sister were leaving the only Edna theater at about 9 PM&#44...we had our bikes and I took a different route home;"2004-01-17";28.9783333;-96.6458333;5
"1960-10-10";"20:00:00";kaneohe;hi;us;light;900;"15 minutes";"AS a Marine 1st Lt. flying an FJ4B fighter/attack aircraft on a solo night exercise&#44 I was at 50&#44000&#39 in a &quot;clean&quot; aircraft (no ordinan";"2004-01-22";21.4180556;-157.8036111;6
"2010-04-03";"11:16:00";monterey;ca;us;egg;10;"0:10";Lights that flashed in the sky and flickered.  ((NUFORC Note:  Very little information provided.  Possible Iridium satellite.  PD));"2010-04-13";36.6002778;-121.8936111;7
"2010-04-03";"12:00:00";punta gorda;fl;us;light;240;"4 min";Pulsating light traveling steady with abrupt change of course&#44 and accelerating outward suddenly;"2010-04-13";26.9294444;-82.0455556;8
"1961-10-10";"19:00:00";bristol;tn;us;sphere;300;"5 minutes";My father is now 89 my brother 52 the girl with us now 51 myself 49 and the other fellow which worked with my father if he&#39s still livi;"2007-04-27";36.595;-82.1888889;9
"1965-10-10";"21:00:00";penarth (uk/wales);"";gb;circle;180;about 3 mins;penarth uk  circle  3mins  stayed 30ft above me for 3 mins slowly moved of and then with the blink of the eye the speed was unreal;"2006-02-14";51.434722;-3.18;10
"2010-04-03";"20:15:00";las vegas;nv;us;light;10;"10 seconds";i saw strange lights over las vegas.;"2010-05-12";36.175;-115.1363889;11
"1965-10-10";"23:45:00";norwalk;ct;us;disk;1200;"20 minutes";A bright orange color changing to reddish color disk/saucer was observed hovering above power transmission lines.;"1999-10-02";41.1175;-73.4083333;12
"1966-10-10";"20:00:00";pell city;al;us;disk;180;"3  minutes";Strobe Lighted disk shape object observed close&#44 at low speeds&#44 and low altitude in Oct 1966 in Pell City Alabama;"2009-03-19";33.5861111;-86.2861111;13
"2010-04-03";"21:00:00";wesley chapel;fl;us;other;4;"3 to 4 sec";bright light moving at an extremely high rate of speed;"2010-04-13";28.2394444;-82.3280556;14
"1966-10-10";"21:00:00";live oak;fl;us;disk;120;several minutes;Saucer zaps energy from powerline as my pregnant mother receives mental signals not to pass info;"2005-05-11";30.2947222;-82.9841667;15
"2010-04-03";"21:57:00";moncton (50.42km before) (canada);nb;ca;other;30;"30 sec";Large Square UFO over Car Ahead of Me&#44 on Route #2 Highway&#44 Nearing Moncton&#44 New Brunswick;"2010-04-13";46.083333;-64.766667;16
"2010-04-03";"22:00:00";muskegon;mi;us;changing;60;"30-60seconds";Star clusters moves and changes shape;"2010-04-13";43.2341667;-86.2483333;17
"2010-04-03";"23:30:00";miramichi (canada);nb;ca;triangle;300;"2-5 min";Triangle ufo seen flying of the city of miramichi&#44 3 lights on on the edges and a search light in the center;"2010-04-13";47.033333;-65.183333;18
"2010-04-04";"00:00:00";georgetown;tx;us;triangle;6;"5-6 seconds";Observed on a clear&#44 cloudless night sky (10:45 PM) a wedge-shape object with 9-10 running lights spaced evenly over entire craft.;"2010-04-13";30.6325;-97.6769444;19
"2011-04-03";"03:30:00";kearns;ut;us;triangle;120;"1 to 2 minutes";bizarre;"2011-05-02";40.66;-111.9955556;20
"1968-10-10";"13:00:00";hawthorne;ca;us;circle;300;"5 min.";ROUND &#44 ORANGE &#44 WITH WHAT I WOULD SAY WAS POLISHED METAL OF SOME KIND AROUND THE EDGES .;"2003-10-31";33.9163889;-118.3516667;21
"1968-10-10";"19:00:00";brevard;nc;us;fireball;180;"3 minutes";silent red /orange mass of energy floated by three of us in western North Carolina in the 60s;"2008-06-12";35.2333333;-82.7344444;22
"1970-10-10";"16:00:00";bellmore;ny;us;disk;1800;"30 min.";silver disc seen by family and neighbors;"2000-05-11";40.6686111;-73.5275;23
